,Time,Date,accel_s0_mean,accel_s0_median,accel_s0_sd,accel_s0_daily_mean_change,accel_s0_daily_mean_allsensors,accel_s0_daily_median_change,accel_s0_daily_median_allsensors,accel_s0_daily_sd_change,accel_s0_daily_sd_allsensors,accel_s0_peaks,accel_s0_peaks_allsensors,accel_s0_trend_strength,accel_s0_spikiness,accel_s0_linearity,accel_s0_curvature,accel_s0_stl_e_acf1,accel_s0_stl_e_acf10,accel_s1_mean,accel_s1_median,accel_s1_sd,accel_s1_daily_mean_change,accel_s1_daily_mean_allsensors,accel_s1_daily_median_change,accel_s1_daily_median_allsensors,accel_s1_daily_sd_change,accel_s1_daily_sd_allsensors,accel_s1_peaks,accel_s1_peaks_allsensors,accel_s1_trend_strength,accel_s1_spikiness,accel_s1_linearity,accel_s1_curvature,accel_s1_stl_e_acf1,accel_s1_stl_e_acf10,accel_s2_mean,accel_s2_median,accel_s2_sd,accel_s2_daily_mean_change,accel_s2_daily_mean_allsensors,accel_s2_daily_median_change,accel_s2_daily_median_allsensors,accel_s2_daily_sd_change,accel_s2_daily_sd_allsensors,accel_s2_peaks,accel_s2_peaks_allsensors,accel_s2_trend_strength,accel_s2_spikiness,accel_s2_linearity,accel_s2_curvature,accel_s2_stl_e_acf1,accel_s2_stl_e_acf10,accel_s3_mean,accel_s3_median,accel_s3_sd,accel_s3_daily_mean_change,accel_s3_daily_mean_allsensors,accel_s3_daily_median_change,accel_s3_daily_median_allsensors,accel_s3_daily_sd_change,accel_s3_daily_sd_allsensors,accel_s3_peaks,accel_s3_peaks_allsensors,accel_s3_trend_strength,accel_s3_spikiness,accel_s3_linearity,accel_s3_curvature,accel_s3_stl_e_acf1,accel_s3_stl_e_acf10,accel_s4_mean,accel_s4_median,accel_s4_sd,accel_s4_daily_mean_change,accel_s4_daily_mean_allsensors,accel_s4_daily_median_change,accel_s4_daily_median_allsensors,accel_s4_daily_sd_change,accel_s4_daily_sd_allsensors,accel_s4_peaks,accel_s4_peaks_allsensors,accel_s4_trend_strength,accel_s4_spikiness,accel_s4_linearity,accel_s4_curvature,accel_s4_stl_e_acf1,accel_s4_stl_e_acf10,accel_s5_mean,accel_s5_median,accel_s5_sd,accel_s5_daily_mean_change,accel_s5_daily_mean_allsensors,accel_s5_daily_median_change,accel_s5_daily_median_allsensors,accel_s5_daily_sd_change,accel_s5_daily_sd_allsensors,accel_s5_peaks,accel_s5_peaks_allsensors,accel_s5_trend_strength,accel_s5_spikiness,accel_s5_linearity,accel_s5_curvature,accel_s5_stl_e_acf1,accel_s5_stl_e_acf10,accel_s6_mean,accel_s6_median,accel_s6_sd,accel_s6_daily_mean_change,accel_s6_daily_mean_allsensors,accel_s6_daily_median_change,accel_s6_daily_median_allsensors,accel_s6_daily_sd_change,accel_s6_daily_sd_allsensors,accel_s6_peaks,accel_s6_peaks_allsensors,accel_s6_trend_strength,accel_s6_spikiness,accel_s6_linearity,accel_s6_curvature,accel_s6_stl_e_acf1,accel_s6_stl_e_acf10,accel_s7_mean,accel_s7_median,accel_s7_sd,accel_s7_daily_mean_change,accel_s7_daily_mean_allsensors,accel_s7_daily_median_change,accel_s7_daily_median_allsensors,accel_s7_daily_sd_change,accel_s7_daily_sd_allsensors,accel_s7_peaks,accel_s7_peaks_allsensors,accel_s7_trend_strength,accel_s7_spikiness,accel_s7_linearity,accel_s7_curvature,accel_s7_stl_e_acf1,accel_s7_stl_e_acf10,Wave_std,Wave_daily_mean_change,Wave_daily_median_change,Wave_peaks,accel_s0_outliers,accel_s1_outliers,accel_s2_outliers,accel_s3_outliers,accel_s4_outliers,accel_s5_outliers,accel_s6_outliers,accel_s7_outliers,y_sensor1,y_sensor2,y_sensor3,y_sensor4,y_sensor5
1,05:00:00,04/01/2022,0.994485262,0.992055595,0.067250123,-0.005288592,0.002311743,-0.003774613,-0.001502158,0.057698537,0.061175893,0,0,0.022668075,1.27E-09,0.020536373,0.024305127,0.02159567,0.036311457,0.987280373,0.986085415,0.05457466,-0.010398897,-0.004893146,-0.009538502,-0.007472338,0.041761005,0.04850043,0,0,0.036194686,2.72E-10,0.027435689,-0.016456647,-0.139532579,0.056906694,0.972981115,0.974130452,0.045454151,-0.016804566,-0.019192405,-0.019373715,-0.019427301,0.037500648,0.039379921,0,0,0.139510445,2.34E-10,-0.021061404,-0.053720455,-0.054013923,0.100712598,0.99605578,0.995796919,0.070314517,0.019685686,0.00388226,0.01877749,0.002239166,0.058390943,0.064240287,0,0,0.066138723,2.18E-09,-0.076944234,-0.008184523,-0.131070143,0.197902141,0.981469076,0.986596823,0.066283945,-0.009188356,-0.010704444,-0.005495131,-0.00696093,0.056607477,0.060209715,0,0,0.053416872,2.27E-09,-0.058041238,0.008095716,-0.058376246,0.046434328,0.995899269,0.994832218,0.047160738,-0.002993262,0.003725749,-0.002153605,0.001274465,0.040162215,0.041086508,0,0,0.004190349,3.83E-10,0.0274819,-0.01910348,-0.12003016,0.127382695,0.990098732,0.989015341,0.038687326,0.011420863,-0.002074787,0.01311782,-0.004542412,0.021355973,0.032613096,0,0,0.071900392,1.45E-10,-0.013670276,0.056559036,0.045580181,0.079535684,0.995124872,0.996552348,0.059340546,0.007427922,0.002951353,0.00741151,0.002994595,0.042093204,0.053266316,0,0,0.079956644,4.43E-10,-0.042963438,-0.014802141,-0.136255649,0.057644854,0.005929,-0.270166667,-0.0615,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,06:00:00,04/01/2022,1.002467359,0.997213066,0.066923798,0.002905048,0.010293839,0.001657486,0.003655313,0.057571889,0.060849568,0,0,0.026063669,1.93E-09,-0.059855149,-0.016676943,-0.019967495,0.098188418,0.993653396,0.986046612,0.051199957,-0.003609919,0.001479876,-0.00875783,-0.007511141,0.038480466,0.045125727,0,0,0.126413155,6.20E-10,0.100751361,0.011087832,-0.205063881,0.177112165,0.958863424,0.956427515,0.056837163,-0.030250074,-0.033310095,-0.036932886,-0.037130238,0.048927785,0.050762934,0,0,0.031980034,9.21E-10,0.065157363,-0.018866752,-0.083388676,0.235092903,1.004861378,1.011383414,0.080147687,0.027703857,0.012687859,0.034066439,0.017825661,0.06822472,0.074073457,0,0,0.037812164,2.50E-09,-0.059343393,0.052963425,-0.125442134,0.086135206,0.977587091,0.978835642,0.069876915,-0.012702807,-0.014586429,-0.012880743,-0.01472211,0.060184429,0.063802685,0,0,0.029128941,1.05E-09,-0.000991965,0.006073949,-0.088293469,0.077514876,1.001430963,0.99237138,0.05127673,0.002658162,0.009257443,-0.004245341,-0.001186372,0.0443628,0.0452025,0,0,0.037555889,3.25E-10,0.020710545,0.053847642,-0.033200427,0.033191347,0.986941041,0.981485248,0.04509194,0.007806337,-0.005232479,0.005579889,-0.012072505,0.027451718,0.03901771,0,0,0.02925492,1.49E-10,-0.002995394,0.034777773,0.130104817,0.130802392,1.003517699,0.997072935,0.055260572,0.015523632,0.011344179,0.007322252,0.003515182,0.038120531,0.049186343,0,0,0.033734371,8.43E-10,-0.029401412,0.012739695,-0.186456301,0.120614467,0.073441,0.005291667,0.2225,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,07:00:00,04/01/2022,0.998560186,0.992336988,0.058409231,-0.001113857,0.006386666,-0.00349322,-0.001220764,0.049245827,0.052335001,0,0,0.146067152,1.31E-09,0.03617629,-0.01865123,-0.198164457,0.069778898,0.988645769,0.987017512,0.049710172,-0.008478703,-0.003527751,-0.006841242,-0.00654024,0.036970135,0.043635942,0,0,0.12946472,2.02E-10,0.007897672,-0.06060107,-0.131740786,0.109886046,0.969597655,0.966230989,0.043744671,-0.018352379,-0.022575865,-0.026480526,-0.027326764,0.035940364,0.037670442,0,0,0.179752614,1.83E-10,0.049451184,-0.005868028,-0.152418566,0.105365577,1.007616062,1.001383901,0.069409813,0.029393007,0.015442542,0.023885861,0.007826148,0.057722196,0.063335583,0,0,0.031386813,3.10E-09,0.06350655,-0.005971669,0.090299947,0.141315603,0.98177696,0.978102028,0.059049505,-0.008024368,-0.01039656,-0.013592899,-0.015455724,0.049193655,0.052975276,0,0,0.078964589,1.26E-09,0.038871472,-0.045549929,0.110740122,0.099038286,0.990187323,0.991666079,0.045941651,-0.008687715,-0.001986197,-0.004091293,-0.001891674,0.039167072,0.039867421,0,0,0.034671923,2.73E-10,0.025021064,-0.006516977,-0.051733628,0.063504847,0.990075464,0.988568008,0.040753246,0.010640517,-0.002098055,0.011518806,-0.004989745,0.023159167,0.034679016,0,0,0.070248264,1.61E-10,-0.010836047,-0.023157104,-0.029935795,0.084243509,1.007228552,1.007192016,0.053156657,0.018637423,0.015055033,0.017120868,0.013634263,0.035986089,0.047082428,0,0,0.079330198,1.21E-09,-0.077362581,0.045979749,0.093558357,0.113547619,0.184041,-0.429208333,-0.2065,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,08:00:00,04/01/2022,1.005732017,1.002682686,0.057944685,0.006099228,0.013558497,0.007127106,0.009124933,0.048825888,0.051870455,0,0,0.041466146,1.84E-09,0.025804063,-0.007049011,-0.172744644,0.062411803,0.991501969,0.988497257,0.045784537,-0.005308476,-0.00067155,-0.00441581,-0.005060496,0.032985853,0.039710308,0,0,0.140496349,2.81E-10,0.00383533,0.005732582,-0.229996936,0.098937214,0.965465988,0.966436923,0.055791517,-0.021804328,-0.026707532,-0.025625706,-0.02712083,0.047963103,0.049717288,0,0,0.016458622,4.08E-10,0.043160628,0.018695766,-0.14390719,0.088964056,1.004894674,0.998369217,0.071773503,0.02558299,0.012721155,0.020690113,0.004811464,0.060063,0.065699274,0,0,0.067916846,3.85E-09,-0.083777731,-0.039470728,-0.17045651,0.075488401,0.977750607,0.985028207,0.072340175,-0.011753522,-0.014422912,-0.006645262,-0.008529545,0.062667277,0.066265945,0,0,0.052018939,1.25E-09,-0.059257083,0.047993498,-0.296055447,0.28351481,1.006686776,1.008945942,0.054636803,0.008133506,0.014513256,0.014047921,0.015388189,0.047904844,0.048562573,0,0,0.004631336,3.21E-10,0.025465546,0.021703437,-0.086050959,0.07825966,0.994292085,0.992460549,0.046514407,0.014463044,0.002118565,0.014267504,-0.001097204,0.028818057,0.040440177,0,0,0.029248923,3.34E-10,-0.052053765,0.020940781,-0.026235907,0.098190739,1.003271115,0.995390892,0.048020631,0.01398971,0.011097595,0.00499928,0.001833139,0.030764292,0.041946401,0,0,0.121807484,7.25E-10,-0.003216422,-0.139924596,-0.000996553,0.039730912,0.003025,-0.37025,-0.1515,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,09:00:00,04/01/2022,0.992284917,0.988272339,0.06569532,-0.007565701,0.000111397,-0.007557869,-0.005285414,0.056612536,0.05962109,0,0,0.014780653,1.55E-09,-0.049486476,0.015469749,-0.106466741,0.102369404,0.995865509,0.997264832,0.048939889,-0.000755348,0.00369199,0.004883841,0.003707079,0.03593548,0.042865659,0,0,0.016576844,5.94E-10,-0.006198854,0.004462445,-0.073423479,0.077811347,0.972462757,0.969345301,0.051784601,-0.014028833,-0.019710762,-0.022400647,-0.024212451,0.044069113,0.045710371,0,0,0.077925289,2.53E-10,-0.006069125,0.053786149,0.065093524,0.059735936,1.013218977,1.005710244,0.090333864,0.032993615,0.021045458,0.026653945,0.012152491,0.078697698,0.084259634,0,0,0.06672703,3.49E-09,0.078983972,0.057230659,-0.102526479,0.08616641,0.984399911,0.988344967,0.065409916,-0.004684449,-0.007773608,-0.003065094,-0.005212785,0.055486549,0.059335686,0,0,0.083253136,8.92E-10,0.023648845,-0.042973551,-0.12300512,0.045632453,0.999149609,0.999433994,0.052223342,0.000305856,0.006976089,0.003676623,0.005876241,0.045588948,0.046149112,0,0,0.09661305,1.54E-10,-0.003539708,0.00698674,-0.049006131,0.131112489,0.989172479,0.990618259,0.038884006,0.008826901,-0.00300104,0.012402654,-0.002939494,0.021319544,0.032809776,0,0,0.05394708,2.03E-10,0.035092499,-0.01934256,-0.189334017,0.122901711,1.013013956,1.015844643,0.053279564,0.023232919,0.020840436,0.025229663,0.02228689,0.035746338,0.047205334,0,0,0.036110524,6.96E-10,0.070841647,0.015678814,-0.218332341,0.157361014,0.019881,-0.508333333,-0.2925,4,0,0,0,0,0,1,1,0,0,0,0,0,0
6,10:00:00,04/01/2022,0.991581626,0.991893709,0.055757196,-0.008008107,-0.000591894,-0.003661871,-0.001664044,0.046838007,0.049682967,0,0,0.007137132,1.24E-09,0.037717915,0.010425576,-0.074154515,0.117398045,0.996836658,1.002793312,0.043911598,0.000241848,0.004663139,0.009880245,0.009235559,0.030877576,0.037837368,0,0,0.084253319,5.50E-10,0.025783382,-0.029516159,-0.153731158,0.164723587,0.975081254,0.974254787,0.045585659,-0.010926583,-0.017092266,-0.017174482,-0.019302966,0.038008926,0.039511429,0,0,0.06338453,2.53E-10,-0.046284748,0.055505328,-0.089053033,0.041221224,0.997477181,0.994211197,0.063007567,0.016114108,0.005303661,0.013777703,0.000653444,0.051453242,0.056933338,0,0,0.077520913,1.92E-09,0.079459343,0.010177576,0.05946896,0.053266392,0.98430341,0.987673819,0.058284561,-0.004619418,-0.007870109,-0.003472835,-0.005883934,0.048431991,0.052210331,0,0,0.039138818,7.15E-10,0.038067402,-0.048407333,-0.101295538,0.114023136,1.000536721,1.002625346,0.047578169,0.001682422,0.008363202,0.006008625,0.009067593,0.041061994,0.041503939,0,0,0.018334924,2.94E-10,-0.030134143,-0.030736362,0.022068189,0.109767778,0.989382566,0.986676633,0.031473729,0.008732611,-0.002790954,0.008438468,-0.006881119,0.013787141,0.025399499,0,0,0.035797087,1.53E-10,-0.013928674,-0.045145425,-0.223816215,0.081246632,0.99815078,1.001244783,0.048081637,0.007568608,0.005977261,0.010406435,0.007687031,0.030545206,0.042007407,0,0,0.221882875,5.56E-10,-0.114267782,-0.03479577,-0.048876657,0.080008959,4.00E-06,-0.49525,-0.2905,4,0,0,1,0,0,0,1,1,0,0,1,0,0
7,11:00:00,04/01/2022,1.001330292,0.999020875,0.050494239,0.002007496,0.009156772,0.003501892,0.005463122,0.041537329,0.044420009,0,0,0.084425442,4.38E-10,-0.11787492,0.018568137,-0.08182644,0.075949106,0.998540711,1.002583623,0.038878518,0.001937839,0.006367192,0.008724868,0.00902587,0.025628736,0.032804288,0,0,0.099435157,4.18E-10,-0.005998126,-0.015735639,-0.055697597,0.073910375,0.973800855,0.976644456,0.046927221,-0.011842763,-0.018372665,-0.01413396,-0.016913296,0.039387295,0.040852991,0,0,0.081514163,4.38E-10,-0.028090975,-0.002042903,-0.223365152,0.081743015,0.987478497,0.988757253,0.064088774,0.005578287,-0.004695022,0.007748231,-0.0048005,0.052248085,0.058014544,0,0,0.052105486,3.02E-09,0.011925647,0.106449991,-0.072457294,0.117662718,0.986856445,0.975647628,0.064446913,-0.001912402,-0.005317075,-0.015046388,-0.017910124,0.054765373,0.058372683,0,0,0.103821844,2.86E-10,-0.052562256,-0.05602043,-0.06994412,0.095958654,0.988991647,0.993979633,0.04477099,-0.009918733,-0.003181873,-0.00300619,0.00042188,0.03832744,0.03869676,0,0,0.051837307,1.45E-10,-0.015371818,0.052342332,-0.075551399,0.078796076,0.996441152,0.994406819,0.035721331,0.015500111,0.004267632,0.014545113,0.000849067,0.017618222,0.029647101,0,0,0.030691499,1.23E-10,-0.009157962,0.035167069,-0.1077244,0.066299587,0.994081708,0.992038608,0.04674665,0.003247249,0.001908188,0.000804037,-0.001519145,0.029031733,0.04067242,0,0,0.050638476,7.01E-10,0.041954808,0.028058464,-0.076895726,0.058683151,0.001849,-0.539833333,-0.3335,4,1,0,0,1,0,0,0,0,0,0,0,0,0
8,12:00:00,04/01/2022,0.993047301,0.994464695,0.04876648,-0.006340252,0.000873782,-0.001090884,0.000906943,0.039554565,0.04269225,0,0,0.079251157,5.59E-09,0.034205206,0.136268322,-0.094067114,0.069145364,0.990429281,0.98434943,0.043114553,-0.006236102,-0.001744238,-0.010455012,-0.009208323,0.029447606,0.037040323,0,0,0.069761045,9.85E-10,-0.041076039,-0.005890131,-0.050812328,0.093215055,0.966263887,0.962628961,0.047898481,-0.018997706,-0.025909632,-0.027498603,-0.030928792,0.040431636,0.041824251,0,0,0.025053342,7.32E-10,-0.062651172,0.029458721,-0.045208161,0.05109473,1.000350959,0.995033383,0.062233821,0.018270804,0.008177439,0.013448834,0.001475631,0.050211097,0.056159591,0,0,0.073602596,4.69E-09,0.017646454,0.167470407,-0.096491022,0.087386165,0.987180522,0.988680542,0.057520156,-0.001526635,-0.004992998,-0.001560837,-0.004877211,0.0479281,0.051445926,0,0,0.022214302,1.37E-08,-0.07551316,0.038282017,-0.006982138,0.157209914,0.997388587,0.998773277,0.040362959,-0.001201834,0.005215067,0.002156556,0.005215524,0.033916572,0.034288729,0,0,0.042841129,9.89E-10,-0.080048261,0.018811062,-0.148595748,0.127383465,0.994562664,0.990981221,0.034237517,0.013121619,0.002389145,0.009495974,-0.002576532,0.015982085,0.028163288,0,0,0.019017235,2.33E-10,0.023024269,0.004366504,-0.03740288,0.098453257,0.99849619,0.993635178,0.048344616,0.007556981,0.006322671,0.002004385,7.74E-05,0.030440177,0.042270386,0,0,0.017843059,2.93E-09,-0.076630486,-0.019340749,-0.047103467,0.084362408,0.039204,-0.738666667,-0.5315,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13:00:00,04/01/2022,1.001553017,1.002937198,0.053937038,0.002363597,0.009379498,0.007418215,0.009379445,0.044428213,0.047862809,0,0,0.013124022,7.28E-10,-0.00152478,0.020895373,-0.123846086,0.06582621,0.997580814,0.997258961,0.038467646,0.001110309,0.005407294,0.003400207,0.003701208,0.024650203,0.032393416,0,0,0.032076444,2.78E-10,-0.033265244,-0.019798881,0.211741309,0.133066551,0.96990972,0.967256784,0.037730527,-0.014758195,-0.022263799,-0.020698711,-0.026300968,0.030353754,0.031656297,0,0,0.083097898,2.17E-10,0.031570698,-0.028603409,0.058138589,0.063551411,1.001701276,1.008204222,0.058169096,0.019050158,0.009527756,0.026389644,0.014646469,0.045919707,0.052094866,0,0,0.01858478,1.24E-09,-0.019591896,-0.022056507,-0.026275442,0.086976561,0.989565033,0.994443893,0.064017063,0.000905584,-0.002608486,0.004405424,0.000886141,0.054580482,0.057942833,0,0,0.067571642,4.24E-10,0.034215567,0.019019391,-0.016873084,0.056579253,1.001310461,1.000579238,0.040229828,0.002757597,0.009136941,0.003593415,0.007021485,0.033605578,0.034155598,0,0,0.109066346,1.09E-10,-0.042899347,-0.02755502,-0.156859216,0.12760235,0.988995081,0.988881886,0.029856764,0.007143986,-0.003178438,0.007381931,-0.004675867,0.01143009,0.023782534,0,0,0.125303128,1.18E-10,-0.080486545,-0.051075296,-0.16387736,0.153110473,1.010336736,1.008629203,0.044631558,0.019161372,0.018163217,0.016932368,0.01507145,0.026640162,0.038557328,0,0,0.072667461,5.16E-10,0.03315045,-0.007497601,0.050389441,0.087855345,3.60E-05,-0.710916667,-0.506,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14:00:00,04/01/2022,1.002235942,0.997623503,0.056725608,0.002974897,0.010062422,0.002067924,0.00406575,0.04718592,0.050651379,0,0,0.070405127,5.82E-10,0.099818432,0.009203547,-0.033041074,0.11208823,0.999144164,1.002307892,0.044906401,0.002640014,0.006970645,0.00750345,0.008750139,0.03077215,0.038832171,0,0,0.095227264,2.66E-10,0.024817117,0.070340741,-0.091566495,0.111095804,0.972023305,0.977159292,0.043656338,-0.012197392,-0.020150214,-0.008624136,-0.016398461,0.036003667,0.037582108,0,0,0.064039079,2.15E-10,-0.052554888,0.026372934,-0.146547377,0.11075043,0.987283632,0.990131527,0.06620573,0.004055237,-0.004889887,0.00808692,-0.003426226,0.053579834,0.0601315,0,0,0.041278909,2.55E-09,-0.072642845,-0.046669648,-0.072567021,0.075158404,0.988012315,0.989293188,0.05163695,-0.000674576,-0.004161204,-0.000948191,-0.004264565,0.042291178,0.04556272,0,0,0.032307122,4.07E-10,0.023280436,0.017745848,-0.173239617,0.179329219,1.002599304,1.000009507,0.040206331,0.003962876,0.010425784,0.002654582,0.006451754,0.033429152,0.034132101,0,0,0.079992208,3.17E-10,0.019331796,0.000587687,0.022054545,0.072555968,0.98918665,0.987543851,0.033490015,0.00711907,-0.002986869,0.006029189,-0.006013902,0.014754559,0.027415785,0,0,0.023227538,1.82E-10,-0.009415595,-0.002899008,0.005524721,0.073042669,0.997753074,0.995517194,0.048922477,0.005997062,0.005579554,0.003754318,0.001959441,0.030735427,0.042848247,0,0,0.056774554,1.01E-09,-0.006644455,0.058074779,0.018277002,0.100482961,0.001189928,-0.626004665,-0.421004665,4,1,1,1,0,1,1,0,0,0,0,0,0,0
